Make,Model,Sales,ModelPercent
Acura,Acura ILX,14685,9.3%
Acura,Acura MDX,52019,33.1%
Acura,Acura NSX,238,0.2%
Acura,Acura RDX,62876,40.0%
Acura,Acura RLX,1019,0.6%
Acura,Acura TLX,26548,16.9%
Alfa,Alfa Romeo 4C,145,0.8%
Alfa,Alfa Romeo Giulia,8705,47.6%
Alfa,Alfa Romeo Stelvio,9444,51.6%
Audi,Audi A3,10418,4.6%
Audi,Audi A4,26435,11.8%
Audi,Audi A5,23023,10.3%
Audi,Audi A6,17807,7.9%
Audi,Audi A7,4955,2.2%
Audi,Audi A8,2963,1.3%
Audi,Audi eTron,5369,2.4%
Audi,Audi Q3,14822,6.6%
Audi,Audi Q5,67516,30.1%
Audi,Audi Q7,34649,15.5%
Audi,Audi Q8,14256,6.4%
Audi,Audi R8,574,0.3%
Audi,Audi TT,1324,0.6%
BMW,BMW 2-Series,8015,2.5%
BMW,BMW 3-Series,47827,14.7%
BMW,BMW 4-Series,18621,5.7%
BMW,BMW 5-Series,38709,11.9%
BMW,BMW 6-Series,1139,0.4%
BMW,BMW 7-Series,8823,2.7%
BMW,BMW 8-Series,4410,1.4%
BMW,BMW i3,4853,1.5%
BMW,BMW i8,1102,0.3%
BMW,BMW X1,17815,5.5%
BMW,BMW X2,11293,3.5%
BMW,BMW X3,70110,21.6%
BMW,BMW X4,8758,2.7%
BMW,BMW X5,54595,16.8%
BMW,BMW X6,4240,1.3%
BMW,BMW X7,21574,6.6%
BMW,BMW Z4,2941,0.9%
Buick,Buick Cascada,2535,1.2%
Buick,Buick Enclave,51156,24.7%
Buick,Buick Encore,102401,49.5%
Buick,Buick Envision,33230,16.1%
Buick,Buick LaCrosse,7241,3.5%
Buick,Buick Regal,10363,5.0%
Cadillac,Cadillac ATS,1134,0.7%
Cadillac,Cadillac CT5,43,0.0%
Cadillac,Cadillac CT6,7952,5.1%
Cadillac,Cadillac CTS,6966,4.5%
Cadillac,Cadillac Escalade,35424,22.7%
Cadillac,Cadillac XT4,31987,20.5%
Cadillac,Cadillac XT5,49878,31.9%
Cadillac,Cadillac XT6,11560,7.4%
Cadillac,Cadillac XTS,11306,7.2%
Chevrolet,Chevrolet Blazer,58116,3.0%
Chevrolet,Chevrolet Bolt,16419,0.8%
Chevrolet,Chevrolet Camaro,48266,2.5%
Chevrolet,Chevrolet Colorado,121703,6.3%
Chevrolet,Chevrolet Corvette,17988,0.9%
Chevrolet,Chevrolet Cruze,47975,2.5%
Chevrolet,Chevrolet Equinox,346049,17.8%
Chevrolet,Chevrolet Express,77457,4.0%
