Make,Month,Sales
Acura,January,9764
Acura,February,12213
Acura,March,14408
Acura,April,11687
Acura,May,13547
Acura,June,12148
Acura,July,12759
Acura,August,15189
Acura,September,11098
Acura,October,13957
Acura,November,14482
Acura,December,16133
Alfa,January,1150
Alfa,February,1362
Alfa,March,1774
Alfa,April,1584
Alfa,May,1572
Alfa,June,1595
Alfa,July,1418
Alfa,August,1588
Alfa,September,1304
Alfa,October,1629
Alfa,November,1689
Alfa,December,1629
Audi,January,14253
Audi,February,13560
Audi,March,20302
Audi,April,15024
Audi,May,18892
Audi,June,19409
Audi,July,19370
Audi,August,21531
Audi,September,16130
Audi,October,19172
Audi,November,20618
Audi,December,25850
BMW,January,18102
BMW,February,23558
BMW,March,32228
BMW,April,23816
BMW,May,27108
BMW,June,31627
BMW,July,23015
BMW,August,25505
BMW,September,27467
BMW,October,25440
BMW,November,31213
BMW,December,35746
Buick,January,17061
Buick,February,16378
Buick,March,18426
Buick,April,17996
Buick,May,20765
Buick,June,16612
Buick,July,16650
Buick,August,18647
Buick,September,15317
Buick,October,16161
Buick,November,16755
Buick,December,16158
Cadillac,January,11841
Cadillac,February,11367
Cadillac,March,12788
Cadillac,April,12891
Cadillac,May,14874
Cadillac,June,11974
Cadillac,July,13146
Cadillac,August,14723
Cadillac,September,12093
Cadillac,October,13337
Cadillac,November,13836
Cadillac,December,13380
Chevrolet,January,148602
Chevrolet,February,142654
Chevrolet,March,160486
Chevrolet,April,162011
Chevrolet,May,175322
Chevrolet,June,149551
Chevrolet,July,166419
Chevrolet,August,186387
Chevrolet,September,153107
Chevrolet,October,164017
Chevrolet,November,169461
Chevrolet,December,164022
Chrysler,January,9054
Chrysler,February,10368
Chrysler,March,12169
Chrysler,April,8987
Chrysler,May,10903
Chrysler,June,12941
Chrysler,July,9719
Chrysler,August,10885
Chrysler,September,8940
Chrysler,October,10868
Chrysler,November,11270
Chrysler,December,10868
Dodge,January,27077
Dodge,February,37073
Dodge,March,46367
Dodge,April,31262
Dodge,May,47759
Dodge,June,38561
Dodge,July,34261
Dodge,August,38368
Dodge,September,31517
Dodge,October,29846
Dodge,November,30951
Dodge,December,29846
Fiat,January,751
Fiat,February,616
Fiat,March,847
Fiat,April,931
Fiat,May,1025
Fiat,June,933
Fiat,July,777
Fiat,August,870
Fiat,September,714
Fiat,October,573
Fiat,November,594
Fiat,December,573
Ford,January,180766
Ford,February,177467
Ford,March,199651
Ford,April,201208
Ford,May,232161
Ford,June,179729
Ford,July,180286
Ford,August,201922
Ford,September,165862
Ford,October,186168
Ford,November,193045
Ford,December,186160
Genesis,January,1224
Genesis,February,1528
Genesis,March,1451
Genesis,April,1605
Genesis,May,2313
Genesis,June,1887
Genesis,July,1586
Genesis,August,1757
Genesis,September,1559
Genesis,October,1935
Genesis,November,2167
Genesis,December,2225
GMC,January,41309
GMC,February,39656
GMC,March,44614
GMC,April,49301
GMC,May,56890
GMC,June,45510
GMC,July,46312
GMC,August,51870
GMC,September,42608
GMC,October,48367
GMC,November,50151
GMC,December,48362
Honda,January,96375
Honda,February,102926
Honda,March,134101
Honda,April,114088
Honda,May,131985
Honda,June,123953
Honda,July,128537
Honda,August,158804
Honda,September,102827
Honda,October,117486
Honda,November,119470
Honda,December,120433
Hyundai,January,40796
Hyundai,February,45612
Hyundai,March,61177
Hyundai,April,55420
Hyundai,May,66121
Hyundai,June,64202
Hyundai,July,57340
Hyundai,August,63737
Hyundai,September,51951
Hyundai,October,57094
Hyundai,November,60601
Hyundai,December,64720
Infiniti,January,10302
Infiniti,February,10607
Infiniti,March,13406
Infiniti,April,8491
Infiniti,May,10413
Infiniti,June,9839
Infiniti,July,8660
Infiniti,August,9185
Infiniti,September,7031
Infiniti,October,9146
Infiniti,November,9385
Infiniti,December,11243
Jaguar,January,3078
Jaguar,February,3465
Jaguar,March,3679
Jaguar,April,2147
Jaguar,May,2021
Jaguar,June,1892
Jaguar,July,2020
Jaguar,August,2128
Jaguar,September,2002
Jaguar,October,2350
Jaguar,November,2958
Jaguar,December,3265
Jeep,January,58401
Jeep,February,67075
Jeep,March,87328
Jeep,April,76325
Jeep,May,90326
Jeep,June,76826
Jeep,July,80748
Jeep,August,90438
Jeep,September,74288
Jeep,October,72945
Jeep,November,75647
Jeep,December,72945
Kia,January,37376
Kia,February,43406
Kia,March,55814
Kia,April,51385
Kia,May,60062
Kia,June,56801
Kia,July,53405
Kia,August,60730
Kia,September,44619
Kia,October,50007
Kia,November,50504
Kia,December,50504
LandRover,January,7385
LandRover,February,8151
LandRover,March,9492
LandRover,April,7165
LandRover,May,7337
LandRover,June,6593
LandRover,July,6456
LandRover,August,6572
LandRover,September,7488
LandRover,October,8093
LandRover,November,9514
LandRover,December,10490
Lexus,January,17420
Lexus,February,20122
Lexus,March,29249
Lexus,April,21360
